X,ID,køn,Political_Orientation,word_id,n,n_doc
1,1,Mand,Right-winged,867,53,39
1,1,Mand,Right-winged,445,39,27
1,1,Mand,Right-winged,101,68,41
1,1,Mand,Right-winged,701,53,39
1,1,Mand,Right-winged,454,24,15
1,1,Mand,Right-winged,667,20,5
1,1,Mand,Right-winged,458,20,6
1,1,Mand,Right-winged,1072,152,85
1,1,Mand,Right-winged,1280,124,81
1,1,Mand,Right-winged,1261,66,36
1,1,Mand,Right-winged,752,37,23
1,1,Mand,Right-winged,879,29,20
1,1,Mand,Right-winged,633,65,46
1,1,Mand,Right-winged,1007,27,20
1,1,Mand,Right-winged,1145,18,14
1,1,Mand,Right-winged,430,32,23
1,1,Mand,Right-winged,78,41,20
1,1,Mand,Right-winged,544,41,22
1,1,Mand,Right-winged,604,58,43
1,1,Mand,Right-winged,94,24,19
1,1,Mand,Right-winged,1176,51,44
1,1,Mand,Right-winged,614,52,45
1,1,Mand,Right-winged,145,175,97
1,1,Mand,Right-winged,377,15,12
1,1,Mand,Right-winged,327,164,78
1,1,Mand,Right-winged,752,37,23
1,1,Mand,Right-winged,1230,18,18
1,1,Mand,Right-winged,916,15,11
1,1,Mand,Right-winged,667,20,5
1,1,Mand,Right-winged,458,20,6
1,1,Mand,Right-winged,142,61,35
1,1,Mand,Right-winged,63,53,32
1,1,Mand,Right-winged,530,13,8
1,1,Mand,Right-winged,213,210,112
1,1,Mand,Right-winged,497,97,64
1,1,Mand,Right-winged,752,37,23
1,1,Mand,Right-winged,879,29,20
1,1,Mand,Right-winged,915,54,39
1,1,Mand,Right-winged,867,53,39
1,1,Mand,Right-winged,891,29,22
1,1,Mand,Right-winged,1179,24,22
1,1,Mand,Right-winged,559,16,15
1,1,Mand,Right-winged,213,210,112
1,1,Mand,Right-winged,686,69,47
1,1,Mand,Right-winged,468,22,18
1,1,Mand,Right-winged,752,37,23
1,1,Mand,Right-winged,879,29,20
1,1,Mand,Right-winged,916,15,11
1,1,Mand,Right-winged,118,52,32
1,1,Mand,Right-winged,499,242,105
1,1,Mand,Right-winged,667,20,5
1,1,Mand,Right-winged,458,20,6
1,1,Mand,Right-winged,1206,9,8
1,1,Mand,Right-winged,1181,7,6
1,1,Mand,Right-winged,56,201,101
1,1,Mand,Right-winged,633,65,46
1,1,Mand,Right-winged,1076,36,24
1,1,Mand,Right-winged,139,53,39
1,1,Mand,Right-winged,499,242,105
1,1,Mand,Right-winged,1193,77,52
1,1,Mand,Right-winged,769,222,103
1,1,Mand,Right-winged,1013,90,65
1,1,Mand,Right-winged,78,41,20
1,1,Mand,Right-winged,544,41,22
1,1,Mand,Right-winged,430,32,23
