word_id,n,n_doc
1,13,10
2,6,5
3,16,12
4,17,14
5,21,15
6,15,9
7,13,10
8,10,6
9,5,5
10,17,7
11,13,12
12,75,53
13,23,19
14,7,6
15,6,5
16,7,7
17,9,9
18,53,37
19,8,7
20,5,5
21,52,36
22,6,6
23,7,5
24,11,10
25,30,23
26,241,72
27,6,6
28,17,15
29,12,10
30,10,8
31,25,22
32,22,17
33,12,7
34,13,8
35,12,12
36,12,10
37,43,24
38,47,17
39,18,13
40,21,17
41,7,6
42,37,23
43,24,22
44,8,6
45,26,15
46,25,17
47,21,6
48,7,6
49,8,8
50,6,5
51,9,5
52,42,30
53,10,8
54,39,23
55,34,23
56,201,101
57,93,48
58,56,38
59,10,7
60,48,36
61,253,110
62,25,21
63,53,32
64,5,5
65,9,9
66,6,6
67,9,5
68,49,28
69,5,5
70,10,8
71,6,5
72,10,9
73,25,21
74,23,16
75,27,10
76,6,5
77,52,40
78,41,20
79,12,12
80,23,22
81,27,24
82,21,18
83,10,8
84,14,7
85,41,33
86,7,6
87,5,5
88,7,7
89,20,14
90,11,9
91,10,7
92,17,11
93,50,31
94,24,19
95,19,14
96,6,5
97,6,6
98,17,7
99,216,86
100,33,28
101,68,41
102,7,7
103,16,12
104,19,16
105,26,13
106,6,6
107,17,14
108,5,5
109,11,10
110,9,7
111,5,5
112,8,8
113,7,7
114,11,10
115,48,30
116,12,10
117,10,8
118,52,32
119,8,7
120,9,6
121,6,6
122,7,7
123,14,11
124,13,10
125,8,5
126,17,11
127,22,7
128,40,23
129,7,6
130,7,7
131,43,32
132,16,13
133,6,5
134,6,6
135,9,7
136,45,30
137,36,31
138,12,9
139,53,39
140,5,5
141,32,8
142,61,35
143,8,6
144,11,9
145,175,97
146,43,29
147,8,6
148,7,6
149,11,11
150,7,5
151,7,5
152,28,19
153,24,20
154,7,7
155,6,5
156,20,14
157,11,5
158,39,20
159,50,28
160,7,6
161,24,14
162,11,9
163,5,5
164,22,6
165,9,8
166,21,15
167,9,5
168,41,15
169,5,5
170,9,5
171,47,36
172,7,6
173,33,23
174,15,5
175,13,12
176,90,54
177,99,64
178,13,9
179,21,16
180,6,6
181,12,9
182,5,5
183,6,5
184,8,5
185,7,6
186,18,16
187,24,11
188,14,8
189,8,8
190,13,12
191,11,10
192,15,12
193,5,5
194,29,20
195,13,6
196,8,8
197,17,13
198,12,9
199,11,9
200,20,16
201,6,6
202,14,11
203,33,24
204,39,27
205,5,5
206,15,8
207,12,9
208,44,29
209,8,7
210,64,35
211,9,8
212,8,7
213,210,112
214,79,58
215,14,12
216,10,8
217,14,12
218,6,6
219,8,6
220,13,5
221,6,5
222,6,5
223,6,5
224,9,8
225,120,57
226,13,12
227,77,38
228,6,5
229,8,6
230,36,24
231,22,14
232,24,16
233,6,5
234,21,10
235,22,7
236,5,5
237,5,5
238,7,7
239,7,6
240,10,7
241,8,5
242,14,9
243,15,12
244,6,6
245,18,14
246,9,7
247,22,15
248,5,5
249,72,27
250,12,9
251,10,9
252,5,5
253,50,38
254,32,23
255,15,11
256,35,19
257,8,8
258,6,5
259,11,5
260,28,22
261,68,52
262,8,7
263,28,23
264,99,58
265,12,9
266,9,8
267,61,41
268,12,11
269,39,24
270,20,12
271,56,18
272,9,5
273,12,11
274,10,10
275,25,15
276,7,6
277,10,8
278,222,67
279,9,9
280,21,10
281,50,12
282,22,7
283,13,10
284,8,8
285,36,19
286,22,18
287,46,32
288,15,11
289,19,16
290,43,13
291,54,40
292,11,9
293,16,13
294,23,21
295,14,13
296,8,6
297,37,28
298,51,38
299,54,31
300,12,11
301,9,7
302,8,5
303,7,6
304,84,47
305,15,11
306,9,7
307,7,6
308,53,30
309,11,10
310,7,5
311,100,58
312,38,28
313,6,5
314,11,9
315,5,5
316,8,7
317,21,18
318,31,24
319,7,5
320,63,47
321,7,5
322,27,22
323,7,6
324,51,27
325,6,5
326,9,6
327,164,78
328,32,23
329,17,15
330,47,28
331,18,12
332,68,53
333,37,22
334,23,17
335,73,44
336,9,6
337,8,7
338,29,27
339,6,6
340,126,70
341,7,7
342,20,15
343,5,5
344,28,18
345,27,15
346,6,6
347,39,35
348,14,9
349,43,34
350,103,64
351,97,52
352,5,5
353,50,35
354,13,11
355,9,8
356,7,6
357,11,7
358,28,24
359,10,9
360,9,8
361,19,17
362,10,5
363,16,12
364,39,27
365,10,7
366,47,30
367,8,8
368,10,10
369,113,74
370,14,12
371,10,8
372,41,24
373,8,8
374,8,7
375,7,6
376,25,11
377,15,12
378,22,17
379,14,12
380,66,35
381,8,7
382,5,5
383,8,8
384,6,6
385,48,34
386,8,7
387,52,39
388,27,19
389,54,30
390,116,51
391,9,9
392,34,30
393,44,29
394,16,15
395,165,92
396,12,11
397,58,42
398,8,7
399,9,9
400,6,6
401,32,28
402,11,7
403,18,11
404,19,17
405,42,29
406,10,7
407,7,6
408,11,11
409,22,11
410,6,5
411,16,13
412,11,9
413,10,10
414,28,19
415,7,6
416,15,11
417,27,21
418,74,40
419,43,27
420,8,7
421,5,5
422,20,17
423,94,50
424,5,5
425,11,9
426,6,5
427,20,18
428,7,6
429,119,76
430,32,23
431,9,9
432,87,56
433,7,7
434,18,16
435,27,18
436,5,5
437,11,10
438,9,8
439,10,9
440,30,25
441,7,6
442,50,35
443,10,9
444,219,107
445,39,27
446,31,23
447,12,11
448,20,15
449,7,6
450,13,10
451,13,13
452,83,57
453,5,5
454,24,15
455,14,12
456,7,7
457,16,13
458,20,6
459,8,8
460,57,41
461,6,5
462,27,19
463,6,5
464,23,20
465,10,5
466,9,7
467,16,15
468,22,18
469,25,17
470,6,6
471,28,20
472,22,18
473,103,58
474,9,6
475,19,10
476,19,9
477,19,14
478,5,5
479,6,5
480,12,11
481,11,8
482,7,5
483,5,5
484,25,19
485,11,11
486,6,6
487,6,5
488,12,11
489,13,10
490,27,23
491,28,16
492,38,29
493,46,30
494,5,5
495,8,5
496,17,7
497,97,64
498,6,5
499,242,105
500,49,32
501,48,29
502,19,15
503,59,44
504,77,30
505,7,7
506,5,5
507,17,10
508,15,11
509,23,17
510,8,7
511,68,36
512,8,5
513,8,7
514,59,43
515,13,13
516,7,7
517,6,5
518,21,12
519,9,9
520,6,5
521,11,11
522,21,17
523,15,8
524,122,78
525,6,6
526,24,18
527,8,7
528,6,6
529,8,5
530,13,8
531,6,6
532,27,24
533,11,8
534,5,5
535,6,6
536,14,11
537,7,7
