positive_prob,neutral_prob,negative_prob
0.0015230327,4.217723e-4,0.9980552
0.9587665,0.04010865,0.0011247166
0.19617715,0.12594888,0.67787397
0.0022175177,0.99583143,0.0019510181
0.013638207,0.7111672,0.2751946
0.0035204866,0.99163294,0.0048465314
5.5139326e-4,0.0011875246,0.99826103
0.004382451,0.9600907,0.035526812
0.0012922855,5.4433325e-4,0.9981634
0.81140494,0.032090973,0.15650415
0.99848074,6.6085e-4,8.583976e-4
0.001368073,0.012833626,0.9857983
0.014938338,0.0014622018,0.9835994
0.0029624733,0.9952513,0.0017861698
0.0022276335,3.0222355e-4,0.99747014
0.22424182,0.7208915,0.054866727
0.998423,0.0011295103,4.474864e-4
0.00873185,8.104153e-4,0.99045765
0.004068721,0.9947025,0.0012286936
7.731995e-4,3.3272407e-4,0.99889416
0.0053692167,0.10406964,0.89056116
7.8184536e-4,0.0020951391,0.99712294
0.0021581177,0.0034918024,0.99435014
6.500815e-4,9.185441e-4,0.9984314
7.707849e-4,0.0010860106,0.9981432
0.027781593,0.01967261,0.9525458
4.289997e-4,0.0011541015,0.9984169
0.06146608,0.058420025,0.88011384
0.0012152451,0.99670345,0.0020812603
0.0049535427,0.9898629,0.005183546
0.99842477,0.0012569146,3.1843124e-4
0.004334051,0.99487346,7.9246424e-4
9.130284e-4,0.02517412,0.9739128
0.00748607,0.0025897482,0.98992425
0.0069202096,0.93424666,0.05883313
0.0034393056,9.6197e-4,0.9955987
0.0014352502,5.223222e-4,0.99804235
0.1938727,0.2076989,0.59842837
0.0063211317,0.9933395,3.393356e-4
0.0024455476,0.84556425,0.15199018
0.38458487,0.6056268,0.009788276
0.9972488,2.54947e-4,0.002496098
0.9983866,5.168338e-4,0.0010964624
0.6103303,0.38774544,0.0019242641
0.46050084,0.5373865,0.0021126529
0.7607495,0.23672876,0.0025217128
0.0030151885,0.9965522,4.325375e-4
0.042251598,0.9573002,4.482428e-4
0.9912204,0.0036706682,0.005108909
0.0036185405,0.98947525,0.006906287
0.9984242,0.001088667,4.87163e-4
0.99840647,0.0011880726,4.054992e-4
0.0038222116,0.9891856,0.006992222
0.0016376331,0.5883003,0.41006204
0.99675375,0.0028227714,4.2345852e-4
0.6980198,0.24941051,0.052569717
