Na,gender,politics,group
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
1,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
2,1,2,2
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
3,2,2,4
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
4,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
5,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
6,1,2,2
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
7,2,2,4
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
8,1,2,2
