positive_prob,neutral_prob,negative_prob
0.0029810085,0.9960581,9.609442e-4
7.516772e-4,0.07298703,0.92626137
0.0012958244,4.3727257e-4,0.9982668
0.98655176,0.012754892,6.9336133e-4
4.919588e-4,0.001313321,0.99819475
7.69377e-4,3.3669933e-4,0.9988939
0.12352761,0.7475221,0.12895027
0.00109146,0.996642,0.002266489
9.914712e-4,0.0013492248,0.9976593
0.00257068,0.007434885,0.98999447
0.0040245396,0.99351645,0.0024590117
9.023187e-4,0.99713933,0.0019583763
0.88917524,0.10860936,0.0022155019
0.7099472,0.2892677,7.850635e-4
0.0053612753,0.99337727,0.0012614761
0.0444046,0.9543863,0.0012090597
0.05433944,0.9434174,0.0022431558
0.0072620953,0.9915412,0.0011966755
0.01790576,0.52333194,0.4587623
8.3183777e-4,0.99856013,6.080634e-4
0.81124365,0.18268667,0.006069691
0.0010315526,0.99659413,0.0023742728
0.001339581,0.024187788000000002,0.9744726
0.0011345632,0.996585,0.00228039
0.0027676956,0.0030231404,0.9942092
0.001646035,0.99759895,7.550943e-4
0.0010857175,0.9982368,6.7751965e-4
8.263398e-4,0.9964012,0.0027724106
0.014187398,0.9765048,0.009307752
4.561213e-4,7.5939065e-4,0.9987845
0.14065622,0.4052332,0.4541106
0.63060266,0.36432704,0.005070304
0.0025520588,0.9969585,4.8936997e-4
5.6709116e-4,0.9971245,0.0023083952
0.040108703,0.95933187,5.5941904e-4
0.57734466,0.068472765,0.35418263
0.8754907,0.12162673,0.002882517
0.047727518,0.9518989,3.735577e-4
0.943801,0.055472378,7.2660943e-4
0.004694453,0.1334553,0.8618502
0.0046479558,0.15650055,0.8388515
0.10922139,0.08125006,0.8095286
0.006823396,0.99281013,3.6656688e-4
0.20256485,0.7962975,0.0011376966
0.015903968,0.98221725,0.0018786964
0.011785335,0.9839155,0.0042991377
0.99880135,4.7005483e-4,7.2851893e-4
0.98161584,0.017105475,0.0012788265
0.016411612,0.96802616,0.015562144
8.583316e-4,0.0049666194,0.994175
5.7396496e-4,0.9987961,6.298913e-4
0.009298132,0.99003685,6.650543e-4
0.021943951,0.9735859,0.0044701975
0.7539371,0.15877062,0.08729225
0.01485637,0.9653995,0.019744104
0.003143772,0.0029307103,0.9939255
0.04515689,0.3445566,0.6102864
0.0013436013,0.0013481937,0.99730825
0.0033871501,0.0030060706,0.9936068
0.045307163,0.9539411,7.5169496e-4
0.07128317,0.003965952,0.9247508
0.0010870866,0.994255,0.0046578995
0.6190183,0.37736738,0.0036144
0.010762049,0.9866045,0.0026334366
0.0012796454,0.9968988,0.0018215382
0.45985702,0.52236325,0.01777971
0.018206859,0.9800444,0.001748749
0.88441014,0.11487633,7.135701e-4
0.0032383068,0.98975265,0.0070090527
0.025049461,0.9688091,0.0061415182
0.9943023,0.005146694,5.5102055e-4
0.001130381,0.9978319,0.0010377377
0.006366412,0.39030755,0.603326
0.0113537125,0.9842547,0.0043916283
0.028631406,0.10391645,0.8674521
0.017459268,0.9822666,2.741102e-4
0.0026066876,0.99651957,8.737524e-4
0.0021604148,0.0042117946,0.9936278
0.004148777,0.029094009,0.9667572
0.21477574,0.78353950000000006,0.0016848688
0.99586356,7.48096e-4,0.0033883194
0.0015733746,0.9973053,0.0011213906
0.10350482,0.85138434,0.045110818
0.22632429,0.7727034,9.7223517e-4
0.93415165,0.06344909,0.0023992143
0.8854142,0.060377583,0.054208312
0.0037014808,0.9955231,7.7540503e-4
0.036337405,0.9550029,0.008659675
0.012030105,0.986161,0.0018088465
0.0035339736,0.021457126,0.9750089
0.10047585,0.010537351,0.8889869
0.9928525,0.00620766,9.398287e-4
0.118848234,0.879485,0.0016667494
0.01862888,0.002471362,0.9788998
0.004319242,5.853394e-4,0.9950955
0.9974146,0.0021375488,4.4782343e-4
0.0012372716,4.4076852e-4,0.99832195
0.0057154964,0.97452605,0.019758528
7.066453e-4,0.99686855,0.0024248902
0.013588257,0.65864414,0.3277676
0.010323505,0.9884306,0.0012459776
0.78057075,0.19451372,0.024915501
0.01743598,0.26717293,0.7153911
0.0069777444,0.053568702,0.93945354
0.0029181293,0.026890075,0.9701918
0.9949962,0.0014574375,0.003546376
0.99794835,0.0014872215,5.644651e-4
0.010716928,0.117881104,0.8714019
0.0015490538,8.999398e-4,0.997551
0.48119342,0.49536997,0.023436615
0.060820404,0.35802788,0.5811517
0.09011272,0.9088836,0.0010037222
0.03402271,0.9652304,7.468627e-4
0.025511198,0.0020006122,0.97248816
0.6082545,0.3879389,0.0038066204
0.9981122,8.530103e-4,0.0010347607
0.99776626,0.0016619558,5.718141e-4
0.14247948,0.8551824,0.002338139
0.0017067307999999999,0.99754167,7.516784e-4
0.0034118306,0.9955642,0.0010239269
0.0016386089,0.9974739,8.8754983e-4
0.005008293,0.9943604,6.3128007e-4
0.6650559,0.33403498,9.0910366e-4
0.0056103654,0.9940117,3.77937e-4
0.49123222,0.50650084,0.0022669125
0.9966788,0.002305109,0.001016146
0.3306271,0.66815126,0.0012216226
0.059687372,0.93796057,0.0023521646
0.060000822,0.004995963,0.9350033
0.0031244517,0.9962297,6.458126e-4
0.9756167,0.0236329,7.503579e-4
0.01026863,0.76440109999999994,0.2253302
8.0094906e-4,0.9985984,6.006539e-4
0.003704982,0.98719376,0.009101213
0.005651182,0.93770736,0.056641422
0.0010584013,0.9956468,0.0032948342
0.01064787,0.98357403,0.0057781915999999996
0.0022469289,0.9934435,0.0043095346
0.003081141,0.9945259,0.0023929337
0.026355738,0.53706145,0.43658277
0.001257317,0.005175311,0.9935674
0.00346779,0.30764824,0.688884
0.00824358,0.0017745706,0.98998183
0.0024441737,0.9965988,9.5707603e-4
0.0018927541,0.99270695,0.0054003196
0.0017165117,0.98276764,0.015515831
0.012315874,0.6878474,0.29983678
0.067704186,0.92537636,0.006919445
0.008937327,0.98859954,0.002463149
0.0011609236,0.9975376,0.0013014058
0.010603198,0.9882349,0.0011619641
0.0011856505,0.0017391214,0.9970752
9.767115e-4,4.21331e-4,0.998602
0.0039448757,0.74442863,0.25162652
0.0014818694,0.99796945,5.4863613e-4
0.38531247,0.6106636,0.004023975
0.0110089425,0.96844524,0.020545788
0.0048080524,0.025383478,0.9698085
0.0012041319,5.87721e-4,0.99820817
6.481941e-4,0.99210453,0.007247186
0.0016556131,0.9942076,0.0041368227
6.88912e-4,0.99793786,0.0013732059
0.008553459,0.83576936,0.15567718
0.0014888159,0.47690982,0.5216013
7.648083e-4,0.9478939,0.051341344
